valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_departement,type_local
610000.0,88.0,4.0,13,Appartement
657700.0,100.0,6.0,13,Maison
340000.0,72.0,3.0,13,Appartement
200000.0,82.0,3.0,13,Appartement
525250.0,106.0,5.0,13,Maison
129000.0,58.0,4.0,13,Appartement
119950.0,77.0,4.0,13,Appartement
75000.0,46.0,3.0,13,Appartement
105000.0,34.0,1.0,13,Appartement
200000.0,60.0,2.0,13,Appartement
85000.0,53.0,3.0,13,Appartement
240000.0,90.0,4.0,13,Appartement
378150.0,100.0,4.0,13,Appartement
60000.0,35.0,1.0,13,Appartement
500000.0,93.0,4.0,13,Maison
450000.0,96.0,4.0,13,Maison
396270.0,64.0,2.0,13,Maison
396270.0,82.0,3.0,13,Maison
125000.0,70.0,2.0,13,Appartement
203000.0,70.0,3.0,13,Appartement
250000.0,68.0,3.0,13,Appartement
151000.0,44.0,2.0,13,Appartement
110000.0,56.0,3.0,13,Appartement
40000.0,16.0,1.0,13,Appartement
185000.0,88.0,4.0,13,Appartement
76000.0,70.0,2.0,13,Appartement
393390.0,77.0,4.0,13,Appartement
541350.0,110.0,4.0,13,Maison
62000.0,55.0,3.0,13,Appartement
361000.0,122.0,5.0,13,Maison
330000.0,97.0,4.0,13,Appartement
128000.0,37.0,2.0,13,Appartement
49800.0,25.0,1.0,13,Appartement
185000.0,39.0,2.0,13,Appartement
241000.0,53.0,2.0,13,Appartement
330000.0,96.0,4.0,13,Appartement
196850.0,54.0,3.0,13,Appartement
110450.0,28.0,1.0,13,Appartement
380000.0,93.0,4.0,13,Appartement
70000.0,41.0,3.0,13,Appartement
160000.0,32.0,2.0,13,Appartement
399500.0,51.0,3.0,13,Appartement
399500.0,80.0,5.0,13,Appartement
399500.0,30.0,1.0,13,Appartement
120000.0,40.0,1.0,13,Appartement
120000.0,60.0,2.0,13,Appartement
168650.0,103.0,3.0,13,Appartement
78000.0,35.0,2.0,13,Appartement
126000.0,30.0,1.0,13,Appartement
440000.0,51.0,2.0,13,Maison
75000.0,60.0,3.0,13,Appartement
237000.0,55.0,2.0,13,Appartement
86000.0,33.0,2.0,13,Appartement
563000.0,74.0,3.0,13,Appartement
202800.0,48.0,2.0,13,Appartement
80500.0,36.0,2.0,13,Appartement
50000.0,15.0,1.0,13,Appartement
102800.0,49.0,3.0,13,Appartement
126095.0,56.0,3.0,13,Appartement
229500.0,42.0,2.0,13,Appartement
185000.0,65.0,3.0,13,Appartement
600000.0,117.0,4.0,13,Appartement
168000.0,44.0,2.0,13,Appartement
145000.0,80.0,4.0,13,Appartement
169800.0,42.0,3.0,13,Appartement
130000.0,53.0,2.0,13,Appartement
60000.0,18.0,1.0,13,Appartement
84650.0,45.0,2.0,13,Appartement
223200.0,88.0,4.0,13,Appartement
663500.0,110.0,5.0,13,Maison
592100.0,124.0,5.0,13,Maison
437000.0,83.0,4.0,13,Appartement
200000.0,40.0,2.0,13,Appartement
88000.0,35.0,2.0,13,Appartement
55000.0,59.0,3.0,13,Appartement
80600.0,36.0,2.0,13,Appartement
146000.0,64.0,3.0,13,Appartement
179016.0,20.0,1.0,13,Maison
286200.0,65.0,3.0,13,Appartement
92000.0,46.0,2.0,13,Appartement
117000.0,30.0,1.0,13,Appartement
280000.0,80.0,4.0,13,Maison
465000.0,83.0,4.0,13,Appartement
39300.0,32.0,1.0,13,Appartement
147500.0,48.0,3.0,13,Appartement
287750.0,77.0,4.0,13,Maison
120000.0,35.0,1.0,13,Appartement
313000.0,58.0,3.0,13,Appartement
458000.0,117.0,5.0,13,Appartement
550000.0,88.0,5.0,13,Maison
112500.0,68.0,4.0,13,Appartement
100000.0,65.0,3.0,13,Appartement
90000.0,60.0,3.0,13,Appartement
145000.0,43.0,2.0,13,Appartement
142000.0,24.0,2.0,13,Maison
135000.0,59.0,3.0,13,Appartement
70000.0,63.0,4.0,13,Appartement
275000.0,21.0,1.0,13,Appartement
275000.0,40.0,2.0,13,Appartement
275000.0,25.0,2.0,13,Appartement
275000.0,36.0,2.0,13,Appartement
275000.0,30.0,2.0,13,Appartement
70000.0,30.0,1.0,13,Appartement
210000.0,25.0,1.0,13,Maison
280000.0,86.0,4.0,13,Maison
349000.0,60.0,2.0,13,Maison
180000.0,74.0,4.0,13,Appartement
150000.0,71.0,4.0,13,Appartement
97000.0,27.0,1.0,13,Appartement
425000.0,110.0,4.0,13,Appartement
597000.0,100.0,5.0,13,Maison
401100.0,77.0,4.0,13,Maison
181500.0,41.0,2.0,13,Appartement
